id,wmo_reg,sub_reg,river,station,country,lat,lon,area,altitude_station,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,clay,sand,mineral_bulk_density,altitude_basin,forest,impervious,pervious,slope
6243030,6,6431,INN,INNSBRUCK,AT,47.2761,11.3969,5792.0,565.95,1951.0,2017.0,67.0,0.0,,,,,1951,2017,67,"165,009",5.203723824,898.4329807,0.1329360173328132,0.5178984254060055,0.011754969361076322,2125.360375410153,0.3201713465894117,0.0092459555671165,0.6705826978434716,36.59525371430115
6243110,6,6431,VENTER ACHE,VENT,AT,46.8628,10.9186,164.7,1877.08,1951.0,2009.0,59.0,0.004640371,,,,,1951,2009,59,"4,919",0.155125584,941.867541,0.12991316993359492,0.5371796090327517,0.011930666742914639,2861.591779935315,0.0260775862273001,0.0204088492213266,0.953513564551373,33.669512542625064
6243800,6,6431,ANTIESEN,HAGING,AT,48.2736,13.4511,164.9,378.67,1951.0,2017.0,67.0,0.0,1978.0,1989.0,12.0,58.33333333,1951,2017,67,"2,646",0.083444256,506.0294482,0.23155147004825627,0.31886603469715913,0.012412303092061833,514.7733524382505,0.1843384107871732,0.0075566392089462,0.8081049500038808,4.561399260248222
6246610,6,6461,MURA,FROHNLEITEN,AT,47.266666,15.316667,6548.0,414.0,1951.0,1986.0,36.0,0.0,,,,,1951,1986,36,"115,214",3.633388704,554.8852633,0.15477090928181744,0.48105622233291734,0.01186687333152438,1278.3025890385152,0.7836240531709395,0.0109302363795524,0.2054457104495085,26.59228795620414
6246611,6,6461,MURA,FRIESACH,AT,47.1644,15.3189,6791.5,379.1,1987.0,2017.0,31.0,0.0,,,,,1987,2017,31,"117,043",3.691068048,543.4834791,0.15727658652781545,0.4780329742724751,0.011903165998839331,1260.3910363736125,0.7882316903545349,0.0106816014219463,0.2010867082235191,26.41569875409976
6246612,6,6461,MURA,"BRUCK A. D. MUR, BELOW MUERZ",AT,47.4106,15.2825,6214.0,468.14,1967.0,2017.0,51.0,0.0,,,,,1967,2017,51,"109,069",3.439599984,553.5242974,0.15315513439221715,0.48294071291153284,0.011845472159705727,1298.6707281934205,0.7744711860039747,0.0111232552408272,0.2144055587551984,26.582697694286495
6246700,6,6461,MURZ,KINDTAL,AT,47.5261,15.4731,727.7,569.64,1966.0,2017.0,52.0,0.0,1978.0,1989.0,12.0,58.33333333,1966,2017,52,"13,873",0.437498928,601.2078164,0.18117201808223066,0.4436623239015917,0.012118350758248636,1090.1675559725056,0.8835487098658479,0.0017170076576918,0.1147342824764601,23.969233376146796
6335115,6,6351,NAHE,GROLSHEIM,DE,49.911575,7.910784,4013.0,85.0,1935.0,2016.0,82.0,0.0,,,,,1935,2016,82,"29,222",0.921544992,229.6399183,0.21730845582398003,0.3506308727143196,0.012330600388589973,351.9796182072134,0.4680754169389167,0.0213189547535234,0.5106056283075598,6.843279029634033
6335125,6,6351,KINZIG,SCHWAIBACH,DE,48.391719,8.03256,954.0,172.64,1914.0,2019.0,106.0,0.0,,,,,1914,2019,106,"22,683",0.715331088,749.8229434,0.18463398482550503,0.45391013380478457,0.012331626228971692,599.1871735536812,0.8866033916673778,0.0043936658630793,0.1090029424695429,15.713672964907992
6335290,6,6351,KOCHER,STEIN,DE,49.258277,9.287113,1932.0,154.14,1911.0,2019.0,109.0,0.53957288,,,,,1911,2019,109,"21,816",0.687989376,356.1021615,0.2356121736577617,0.31576758672457156,0.012893995385370385,409.7228544294233,0.4371090961973433,0.0097310203412772,0.5531598834613793,5.779993203518774
